INFO:root:Start fine tuning for 250 epochs.
INFO:root:Pre-trained model loaded: ../runs/[cifar]_BS=256_LR=2e-4_eps=0.5/checkpoint_0500.pth.tar.
INFO:root:Training with gpu: False.
INFO:root:Start fine tuning for 250 epochs.
INFO:root:Pre-trained model loaded: ../runs/[cifar]_BS=256_LR=2e-4_eps=0.5/checkpoint_0500.pth.tar.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch 0	Top1 Train accuracy 18.088329315185547	Top1 Test accuracy: 44.049861907958984	Top5 test acc: 88.6793441772461
DEBUG:root:Epoch 1	Top1 Train accuracy 35.22560501098633	Top1 Test accuracy: 50.75022888183594	Top5 test acc: 92.54021453857422
DEBUG:root:Epoch 2	Top1 Train accuracy 40.142696380615234	Top1 Test accuracy: 53.8671875	Top5 test acc: 93.51964569091797
DEBUG:root:Epoch 3	Top1 Train accuracy 42.27758026123047	Top1 Test accuracy: 55.67440414428711	Top5 test acc: 94.10443878173828
DEBUG:root:Epoch 4	Top1 Train accuracy 43.43191909790039	Top1 Test accuracy: 56.88074493408203	Top5 test acc: 94.61856842041016
DEBUG:root:Epoch 5	Top1 Train accuracy 44.20918273925781	Top1 Test accuracy: 57.70622634887695	Top5 test acc: 94.82479095458984
DEBUG:root:Epoch 6	Top1 Train accuracy 44.6918830871582	Top1 Test accuracy: 58.323760986328125	Top5 test acc: 95.08846282958984
DEBUG:root:Epoch 7	Top1 Train accuracy 45.052215576171875	Top1 Test accuracy: 58.909698486328125	Top5 test acc: 95.18727111816406
DEBUG:root:Epoch 8	Top1 Train accuracy 45.272239685058594	Top1 Test accuracy: 59.37614822387695	Top5 test acc: 95.36420440673828
DEBUG:root:Epoch 9	Top1 Train accuracy 45.4974479675293	Top1 Test accuracy: 59.752410888671875	Top5 test acc: 95.42279815673828
DEBUG:root:Epoch 10	Top1 Train accuracy 45.74059295654297	Top1 Test accuracy: 60.11259078979492	Top5 test acc: 95.56813049316406
DEBUG:root:Epoch 11	Top1 Train accuracy 45.88209533691406	Top1 Test accuracy: 60.453243255615234	Top5 test acc: 95.60604095458984
DEBUG:root:Epoch 12	Top1 Train accuracy 45.98373794555664	Top1 Test accuracy: 60.677852630615234	Top5 test acc: 95.61695861816406
DEBUG:root:Epoch 13	Top1 Train accuracy 46.10331726074219	Top1 Test accuracy: 60.843868255615234	Top5 test acc: 95.68531799316406
DEBUG:root:Epoch 14	Top1 Train accuracy 46.24282455444336	Top1 Test accuracy: 61.04549789428711	Top5 test acc: 95.81111907958984
DEBUG:root:Epoch 15	Top1 Train accuracy 46.34008026123047	Top1 Test accuracy: 61.229896545410156	Top5 test acc: 95.88924407958984
DEBUG:root:Epoch 16	Top1 Train accuracy 46.464046478271484	Top1 Test accuracy: 61.278724670410156	Top5 test acc: 95.89039611816406
DEBUG:root:Epoch 17	Top1 Train accuracy 46.53379821777344	Top1 Test accuracy: 61.3786735534668	Top5 test acc: 95.91969299316406
DEBUG:root:Epoch 18	Top1 Train accuracy 46.64899444580078	Top1 Test accuracy: 61.5349235534668	Top5 test acc: 96.04664611816406
DEBUG:root:Epoch 19	Top1 Train accuracy 46.71516036987305	Top1 Test accuracy: 61.6814079284668	Top5 test acc: 96.06617736816406
DEBUG:root:Epoch 20	Top1 Train accuracy 46.802852630615234	Top1 Test accuracy: 61.7790641784668	Top5 test acc: 96.09547424316406
DEBUG:root:Epoch 21	Top1 Train accuracy 46.86264419555664	Top1 Test accuracy: 61.9157829284668	Top5 test acc: 96.15406799316406
DEBUG:root:Epoch 22	Top1 Train accuracy 46.92641830444336	Top1 Test accuracy: 61.9450798034668	Top5 test acc: 96.20289611816406
DEBUG:root:Epoch 23	Top1 Train accuracy 47.00215148925781	Top1 Test accuracy: 62.10995101928711	Top5 test acc: 96.24195861816406
DEBUG:root:Epoch 24	Top1 Train accuracy 47.045997619628906	Top1 Test accuracy: 62.13924789428711	Top5 test acc: 96.23219299316406
DEBUG:root:Epoch 25	Top1 Train accuracy 47.095821380615234	Top1 Test accuracy: 62.196693420410156	Top5 test acc: 96.26148986816406
DEBUG:root:Epoch 26	Top1 Train accuracy 47.143653869628906	Top1 Test accuracy: 62.265052795410156	Top5 test acc: 96.29078674316406
DEBUG:root:Epoch 27	Top1 Train accuracy 47.17155456542969	Top1 Test accuracy: 62.33456039428711	Top5 test acc: 96.31031799316406
DEBUG:root:Epoch 28	Top1 Train accuracy 47.207427978515625	Top1 Test accuracy: 62.42245101928711	Top5 test acc: 96.32869720458984
DEBUG:root:Epoch 29	Top1 Train accuracy 47.26522445678711	Top1 Test accuracy: 62.52010726928711	Top5 test acc: 96.37752532958984
DEBUG:root:Epoch 30	Top1 Train accuracy 47.293128967285156	Top1 Test accuracy: 62.5407829284668	Top5 test acc: 96.39705657958984
DEBUG:root:Epoch 31	Top1 Train accuracy 47.33298873901367	Top1 Test accuracy: 62.5798454284668	Top5 test acc: 96.40682220458984
DEBUG:root:Epoch 32	Top1 Train accuracy 47.37882614135742	Top1 Test accuracy: 62.6482048034668	Top5 test acc: 96.39705657958984
DEBUG:root:Epoch 33	Top1 Train accuracy 47.43861389160156	Top1 Test accuracy: 62.6872673034668	Top5 test acc: 96.38729095458984
DEBUG:root:Epoch 34	Top1 Train accuracy 47.45854568481445	Top1 Test accuracy: 62.7360954284668	Top5 test acc: 96.39705657958984
DEBUG:root:Epoch 35	Top1 Train accuracy 47.48046875	Top1 Test accuracy: 62.7751579284668	Top5 test acc: 96.39705657958984
DEBUG:root:Epoch 36	Top1 Train accuracy 47.5043830871582	Top1 Test accuracy: 62.79584503173828	Top5 test acc: 96.40682220458984
DEBUG:root:Epoch 37	Top1 Train accuracy 47.54424285888672	Top1 Test accuracy: 62.85443878173828	Top5 test acc: 96.41658782958984
DEBUG:root:Epoch 38	Top1 Train accuracy 47.586097717285156	Top1 Test accuracy: 62.87397003173828	Top5 test acc: 96.39705657958984
DEBUG:root:Epoch 39	Top1 Train accuracy 47.61997604370117	Top1 Test accuracy: 62.884883880615234	Top5 test acc: 96.38729095458984
DEBUG:root:Epoch 40	Top1 Train accuracy 47.62794876098633	Top1 Test accuracy: 62.923946380615234	Top5 test acc: 96.36891174316406
DEBUG:root:Epoch 41	Top1 Train accuracy 47.66581344604492	Top1 Test accuracy: 62.963008880615234	Top5 test acc: 96.38844299316406
DEBUG:root:Epoch 42	Top1 Train accuracy 47.69172286987305	Top1 Test accuracy: 62.992305755615234	Top5 test acc: 96.39820861816406
DEBUG:root:Epoch 43	Top1 Train accuracy 47.71165466308594	Top1 Test accuracy: 62.982540130615234	Top5 test acc: 96.38844299316406
DEBUG:root:Epoch 44	Top1 Train accuracy 47.72520446777344	Top1 Test accuracy: 63.002071380615234	Top5 test acc: 96.39820861816406
DEBUG:root:Epoch 45	Top1 Train accuracy 47.72321319580078	Top1 Test accuracy: 63.021602630615234	Top5 test acc: 96.39820861816406
DEBUG:root:Epoch 46	Top1 Train accuracy 47.77104568481445	Top1 Test accuracy: 63.041133880615234	Top5 test acc: 96.41773986816406
DEBUG:root:Epoch 47	Top1 Train accuracy 47.77503204345703	Top1 Test accuracy: 63.070430755615234	Top5 test acc: 96.41773986816406
DEBUG:root:Epoch 48	Top1 Train accuracy 47.798946380615234	Top1 Test accuracy: 63.089962005615234	Top5 test acc: 96.42750549316406
DEBUG:root:Epoch 49	Top1 Train accuracy 47.82286071777344	Top1 Test accuracy: 63.119258880615234	Top5 test acc: 96.41773986816406
DEBUG:root:Epoch 50	Top1 Train accuracy 47.846778869628906	Top1 Test accuracy: 63.12040328979492	Top5 test acc: 96.42750549316406
DEBUG:root:Epoch 51	Top1 Train accuracy 47.86870193481445	Top1 Test accuracy: 63.14970016479492	Top5 test acc: 96.41773986816406
DEBUG:root:Epoch 52	Top1 Train accuracy 47.88065719604492	Top1 Test accuracy: 63.226680755615234	Top5 test acc: 96.41773986816406
DEBUG:root:Epoch 53	Top1 Train accuracy 47.90058898925781	Top1 Test accuracy: 63.246212005615234	Top5 test acc: 96.41773986816406
DEBUG:root:Epoch 54	Top1 Train accuracy 47.9145393371582	Top1 Test accuracy: 63.285274505615234	Top5 test acc: 96.43727111816406
DEBUG:root:Epoch 55	Top1 Train accuracy 47.9145393371582	Top1 Test accuracy: 63.275508880615234	Top5 test acc: 96.43727111816406
DEBUG:root:Epoch 56	Top1 Train accuracy 47.916534423828125	Top1 Test accuracy: 63.295040130615234	Top5 test acc: 96.44703674316406
DEBUG:root:Epoch 57	Top1 Train accuracy 47.92051696777344	Top1 Test accuracy: 63.295040130615234	Top5 test acc: 96.44703674316406
DEBUG:root:Epoch 58	Top1 Train accuracy 47.960777282714844	Top1 Test accuracy: 63.343868255615234	Top5 test acc: 96.46656799316406
DEBUG:root:Epoch 59	Top1 Train accuracy 48.002628326416016	Top1 Test accuracy: 63.402462005615234	Top5 test acc: 96.48609924316406
DEBUG:root:Epoch 60	Top1 Train accuracy 48.012596130371094	Top1 Test accuracy: 63.402462005615234	Top5 test acc: 96.52516174316406
DEBUG:root:Epoch 61	Top1 Train accuracy 48.00621795654297	Top1 Test accuracy: 63.392696380615234	Top5 test acc: 96.52516174316406
DEBUG:root:Epoch 62	Top1 Train accuracy 48.028141021728516	Top1 Test accuracy: 63.451290130615234	Top5 test acc: 96.52516174316406
DEBUG:root:Epoch 63	Top1 Train accuracy 48.03053283691406	Top1 Test accuracy: 63.44266891479492	Top5 test acc: 96.50678253173828
DEBUG:root:Epoch 64	Top1 Train accuracy 48.06241989135742	Top1 Test accuracy: 63.47196578979492	Top5 test acc: 96.49701690673828
