INFO:root:Start fine tuning for 100 epochs.
INFO:root:Pre-trained model loaded: ../runs/[cifar100]_BS=256_LR=0.0002_eps=1/checkpoint_0500.pth.tar.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch 0	Top1 Train accuracy 27.609214782714844	Top1 Test accuracy: 37.83260726928711	Top5 test acc: 86.23735809326172
DEBUG:root:Epoch 1	Top1 Train accuracy 41.092952728271484	Top1 Test accuracy: 42.370750427246094	Top5 test acc: 88.98839569091797
DEBUG:root:Epoch 2	Top1 Train accuracy 43.96603775024414	Top1 Test accuracy: 44.554805755615234	Top5 test acc: 90.02758026123047
DEBUG:root:Epoch 3	Top1 Train accuracy 45.26586151123047	Top1 Test accuracy: 45.85765075683594	Top5 test acc: 90.70024871826172
DEBUG:root:Epoch 4	Top1 Train accuracy 46.3807373046875	Top1 Test accuracy: 47.00654983520508	Top5 test acc: 91.2425308227539
DEBUG:root:Epoch 5	Top1 Train accuracy 47.323421478271484	Top1 Test accuracy: 47.88315963745117	Top5 test acc: 91.7015151977539
DEBUG:root:Epoch 6	Top1 Train accuracy 48.0365104675293	Top1 Test accuracy: 48.359375	Top5 test acc: 91.9944839477539
DEBUG:root:Epoch 7	Top1 Train accuracy 48.80580139160156	Top1 Test accuracy: 48.93784713745117	Top5 test acc: 92.2288589477539
DEBUG:root:Epoch 8	Top1 Train accuracy 49.44395446777344	Top1 Test accuracy: 49.499656677246094	Top5 test acc: 92.4534683227539
DEBUG:root:Epoch 9	Top1 Train accuracy 50.05620193481445	Top1 Test accuracy: 50.00632095336914	Top5 test acc: 92.78435516357422
DEBUG:root:Epoch 10	Top1 Train accuracy 50.52734375	Top1 Test accuracy: 50.423946380615234	Top5 test acc: 93.037109375
DEBUG:root:Epoch 11	Top1 Train accuracy 50.96420669555664	Top1 Test accuracy: 50.86454391479492	Top5 test acc: 93.1715316772461
DEBUG:root:Epoch 12	Top1 Train accuracy 51.40465545654297	Top1 Test accuracy: 51.12821578979492	Top5 test acc: 93.2691879272461
DEBUG:root:Epoch 13	Top1 Train accuracy 51.75542068481445	Top1 Test accuracy: 51.393035888671875	Top5 test acc: 93.3766098022461
DEBUG:root:Epoch 14	Top1 Train accuracy 52.110172271728516	Top1 Test accuracy: 51.58950424194336	Top5 test acc: 93.62592315673828
DEBUG:root:Epoch 15	Top1 Train accuracy 52.44539260864258	Top1 Test accuracy: 51.79458236694336	Top5 test acc: 93.67475128173828
DEBUG:root:Epoch 16	Top1 Train accuracy 52.79615783691406	Top1 Test accuracy: 51.98989486694336	Top5 test acc: 93.80284881591797
DEBUG:root:Epoch 17	Top1 Train accuracy 53.06481170654297	Top1 Test accuracy: 52.086395263671875	Top5 test acc: 93.89073944091797
DEBUG:root:Epoch 18	Top1 Train accuracy 53.28403854370117	Top1 Test accuracy: 52.301239013671875	Top5 test acc: 93.92003631591797
DEBUG:root:Epoch 19	Top1 Train accuracy 53.489315032958984	Top1 Test accuracy: 52.633270263671875	Top5 test acc: 94.04698944091797
DEBUG:root:Epoch 20	Top1 Train accuracy 53.65633010864258	Top1 Test accuracy: 52.818817138671875	Top5 test acc: 94.12511444091797
DEBUG:root:Epoch 21	Top1 Train accuracy 53.76793670654297	Top1 Test accuracy: 53.050899505615234	Top5 test acc: 94.11534881591797
DEBUG:root:Epoch 22	Top1 Train accuracy 53.901466369628906	Top1 Test accuracy: 53.21805953979492	Top5 test acc: 94.17394256591797
DEBUG:root:Epoch 23	Top1 Train accuracy 54.02702331542969	Top1 Test accuracy: 53.43290328979492	Top5 test acc: 94.18370819091797
DEBUG:root:Epoch 24	Top1 Train accuracy 54.192840576171875	Top1 Test accuracy: 53.61845016479492	Top5 test acc: 94.18486022949219
DEBUG:root:Epoch 25	Top1 Train accuracy 54.29528045654297	Top1 Test accuracy: 53.87006378173828	Top5 test acc: 94.22392272949219
DEBUG:root:Epoch 26	Top1 Train accuracy 54.39692306518555	Top1 Test accuracy: 54.0642204284668	Top5 test acc: 94.23368835449219
DEBUG:root:Epoch 27	Top1 Train accuracy 54.52845764160156	Top1 Test accuracy: 54.1911735534668	Top5 test acc: 94.29228210449219
DEBUG:root:Epoch 28	Top1 Train accuracy 54.6484375	Top1 Test accuracy: 54.2790641784668	Top5 test acc: 94.35087585449219
DEBUG:root:Epoch 29	Top1 Train accuracy 54.783958435058594	Top1 Test accuracy: 54.4157829284668	Top5 test acc: 94.39970397949219
DEBUG:root:Epoch 30	Top1 Train accuracy 54.883609771728516	Top1 Test accuracy: 54.4548454284668	Top5 test acc: 94.39108276367188
DEBUG:root:Epoch 31	Top1 Train accuracy 55.02511215209961	Top1 Test accuracy: 54.4255485534668	Top5 test acc: 94.44738006591797
DEBUG:root:Epoch 32	Top1 Train accuracy 55.14070510864258	Top1 Test accuracy: 54.50252914428711	Top5 test acc: 94.50482940673828
DEBUG:root:Epoch 33	Top1 Train accuracy 55.180564880371094	Top1 Test accuracy: 54.63924789428711	Top5 test acc: 94.52436065673828
DEBUG:root:Epoch 34	Top1 Train accuracy 55.2826042175293	Top1 Test accuracy: 54.72713851928711	Top5 test acc: 94.55365753173828
DEBUG:root:Epoch 35	Top1 Train accuracy 55.34837341308594	Top1 Test accuracy: 54.730587005615234	Top5 test acc: 94.64039611816406
DEBUG:root:Epoch 36	Top1 Train accuracy 55.444034576416016	Top1 Test accuracy: 54.740352630615234	Top5 test acc: 94.65016174316406
DEBUG:root:Epoch 37	Top1 Train accuracy 55.51777648925781	Top1 Test accuracy: 54.867305755615234	Top5 test acc: 94.68922424316406
DEBUG:root:Epoch 38	Top1 Train accuracy 55.63735580444336	Top1 Test accuracy: 54.91727828979492	Top5 test acc: 94.73690032958984
DEBUG:root:Epoch 39	Top1 Train accuracy 55.709503173828125	Top1 Test accuracy: 55.00516891479492	Top5 test acc: 94.75643157958984
DEBUG:root:Epoch 40	Top1 Train accuracy 55.815128326416016	Top1 Test accuracy: 55.130977630615234	Top5 test acc: 94.77596282958984
DEBUG:root:Epoch 41	Top1 Train accuracy 55.918766021728516	Top1 Test accuracy: 55.18842315673828	Top5 test acc: 94.80525970458984
DEBUG:root:Epoch 42	Top1 Train accuracy 55.98652648925781	Top1 Test accuracy: 55.21772003173828	Top5 test acc: 94.79549407958984
DEBUG:root:Epoch 43	Top1 Train accuracy 56.062259674072266	Top1 Test accuracy: 55.28607940673828	Top5 test acc: 94.84432220458984
DEBUG:root:Epoch 44	Top1 Train accuracy 56.14237594604492	Top1 Test accuracy: 55.199337005615234	Top5 test acc: 94.80641174316406
DEBUG:root:Epoch 45	Top1 Train accuracy 56.190208435058594	Top1 Test accuracy: 55.345821380615234	Top5 test acc: 94.82594299316406
DEBUG:root:Epoch 46	Top1 Train accuracy 56.256378173828125	Top1 Test accuracy: 55.394649505615234	Top5 test acc: 94.87477111816406
DEBUG:root:Epoch 47	Top1 Train accuracy 56.30819320678711	Top1 Test accuracy: 55.433712005615234	Top5 test acc: 94.88453674316406
DEBUG:root:Epoch 48	Top1 Train accuracy 56.35602569580078	Top1 Test accuracy: 55.502071380615234	Top5 test acc: 94.87477111816406
DEBUG:root:Epoch 49	Top1 Train accuracy 56.43375015258789	Top1 Test accuracy: 55.49115753173828	Top5 test acc: 94.87592315673828
DEBUG:root:Epoch 50	Top1 Train accuracy 56.50151443481445	Top1 Test accuracy: 55.5095329284668	Top5 test acc: 94.88568878173828
DEBUG:root:Epoch 51	Top1 Train accuracy 56.557315826416016	Top1 Test accuracy: 55.5388298034668	Top5 test acc: 94.91498565673828
DEBUG:root:Epoch 52	Top1 Train accuracy 56.60714340209961	Top1 Test accuracy: 55.5388298034668	Top5 test acc: 94.91498565673828
DEBUG:root:Epoch 53	Top1 Train accuracy 56.655372619628906	Top1 Test accuracy: 55.5681266784668	Top5 test acc: 94.92475128173828
DEBUG:root:Epoch 54	Top1 Train accuracy 56.705196380615234	Top1 Test accuracy: 55.62557601928711	Top5 test acc: 94.90522003173828
DEBUG:root:Epoch 55	Top1 Train accuracy 56.76100158691406	Top1 Test accuracy: 55.57674789428711	Top5 test acc: 94.87592315673828
DEBUG:root:Epoch 56	Top1 Train accuracy 56.80883026123047	Top1 Test accuracy: 55.55721664428711	Top5 test acc: 94.89545440673828
DEBUG:root:Epoch 57	Top1 Train accuracy 56.87858581542969	Top1 Test accuracy: 55.5974235534668	Top5 test acc: 94.90522003173828
DEBUG:root:Epoch 58	Top1 Train accuracy 56.92442321777344	Top1 Test accuracy: 55.68416976928711	Top5 test acc: 94.86615753173828
DEBUG:root:Epoch 59	Top1 Train accuracy 56.97225570678711	Top1 Test accuracy: 55.74276351928711	Top5 test acc: 94.86615753173828
DEBUG:root:Epoch 60	Top1 Train accuracy 57.01411056518555	Top1 Test accuracy: 55.79159164428711	Top5 test acc: 94.85639190673828
DEBUG:root:Epoch 61	Top1 Train accuracy 57.049983978271484	Top1 Test accuracy: 55.80135726928711	Top5 test acc: 94.87592315673828
DEBUG:root:Epoch 62	Top1 Train accuracy 57.08984375	Top1 Test accuracy: 55.84041976928711	Top5 test acc: 94.91498565673828
DEBUG:root:Epoch 63	Top1 Train accuracy 57.11774444580078	Top1 Test accuracy: 55.85995101928711	Top5 test acc: 94.90522003173828
DEBUG:root:Epoch 64	Top1 Train accuracy 57.16358184814453	Top1 Test accuracy: 55.90877914428711	Top5 test acc: 94.92475128173828
DEBUG:root:Epoch 65	Top1 Train accuracy 57.18351364135742	Top1 Test accuracy: 55.9294548034668	Top5 test acc: 94.93451690673828
DEBUG:root:Epoch 66	Top1 Train accuracy 57.19945526123047	Top1 Test accuracy: 55.9782829284668	Top5 test acc: 94.95404815673828
DEBUG:root:Epoch 67	Top1 Train accuracy 57.22496795654297	Top1 Test accuracy: 55.9978141784668	Top5 test acc: 94.99311065673828
DEBUG:root:Epoch 68	Top1 Train accuracy 57.25446319580078	Top1 Test accuracy: 56.0271110534668	Top5 test acc: 95.01264190673828
